topic,sentiment,text
p,0,"Tune in at 5 p.m. today for the government's press conference, which will explain how the vaccination roll-out will work for 5- to 11-year-olds. Quebec vaccination plan for five to 11-year-olds to be announced today   CBC News https://t.co/5meo14yhij"
p,0,@aus_forum @RobbieEv1882 @StephenMcDonell Can you please clarify what types of COVID vaccine that Australia recognizes as acceptable for Chinese students to enter Australia from China - how about Sinopharm and/or Sinovac?
c,0,@BearGrillz17 @Gov_NB No cases were observed in the 5-11 trials.  https://t.co/kesgUV09YG
c,0,"Now that children ages 5-11 are eligible for the #COVID19 vaccine, here are some tips for parents and children to help make their vaccination appointment a bit easier. #COVID19MB #ProtectMB #Manitoba #ItDoesntHaveToHurt https://t.co/5UkeV7cTj2"
c,+,Just made a vaccination appointment for my kiddo!
c,0,"If you like heart problems, you'll love the Pfizer and Moderna Covid vaccines - by Alex Berenson - Unreported Truths https://t.co/tszghiWPiT"
o,+,It’s yelly on local twitter so I trust the latest covid briefing is going well.
p,0,"With the news Health Canada has officially approved Pfizer-BioNTech's vaccine for children ages five to 11, for protection against #COVID19 it’s normal to have questions. If you have concerns or need further info on the vaccine, talk to your family doctor. https://t.co/ezcpKKeaPM https://t.co/HgZ2OamqHo"
i,0,"Look at the last bit.  Antibodies from natural immunity are downgraded by subsequent vaccination.  In a sane world, that should be the death knell for vaccination mandates and vaccination without prior antibody testing.  Page 23.  https://t.co/SGzBlFwHr3 https://t.co/8kOgynpH7P"
g,-,@FrankCianfrani @JohnnyJames1977 @ColinDotNet @EpiEllie What have you done today to increase vaccine uptake? Virtue signalling about masks on Twitter doesn’t get us out of this. Vaccination does.
i,0,"Gray says North Zone had 45,000 cases of Covid. 20 per cent of those diagnosed will have long-term symptoms. Approximately 9,000 cases. Will you commit to supporting those patients?"
c,0,"@reallygrimey @SKAGMATIC @AmmarGeorges @M_J_Schofield @RichardDawkins Uttar Predash has the lowest vaccination rate of India, AND the largest population. Yet... https://t.co/tCxBpSsQb8"
3,+,"@ForecasterEnten Same here. I’m getting my booster this week on the 1st day I’m eligible. I even got 2 doses of the questionnable Astrazeneca vax cuz that was the first thing my age group could get. On the bright side, I get my booster sooner than Canadians who did not take AZ."
g,0,"“I think we will get an acceptable vaccination rate in Quebec. We will monitor the situation as best as possible before Christmas and let the public know,” says Dr. Horacio Arruda."
c,+,@msdwrites @TheTodayShow 7 day average death rate is zero.  Vaccination rate close to 100% https://t.co/MRkNWsaMh3
c,0,".@WDGPublicHealth confirms it has received 17,100 doses of Pfizer's pediatric COVID-19 vaccine. Officials in WDG will start vaccinating kids between 5 and 11 this Thursday."
c,0,"@stuart_braun In the tweet right under this one, I update the province's vaccination rate. I don't have enough space in that tweet to do it altogether: https://t.co/CkF0DYrgYI"
o,0,"“It’s very encouraging to see that many thousands of people jumping on booking appointments within hours of it being available.""  https://t.co/wO0un7rSq1"
o,0,"Breaking them into quartiles considering population is tricky because LA, ranked by vaccination, takes up the space from 37th to 62nd percentile. I called them the 3rd quartile (next to top) combined with Orange and Ventura only."
p,0,Parents: PLEASE read!! https://t.co/5Z4Yhn0gFQ
